"","Gene_stable_ID","Gene_name","Comparison","logFC","PValue","study_specific_gene_details","Condition","Publication"
"54393","ENSAMXG00000021286","SHLD2","Tinaja-Rio Choy",0.2954183,0.099122981,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54397","ENSAMXG00000010871","si:dkey-33c12.4","Tinaja-Rio Choy",-0.333701881,0.099166776,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54400","ENSAMXG00000019379","zmiz2","Tinaja-Rio Choy",-0.344276559,0.099468889,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54401","ENSAMXG00000005490","cracd","Tinaja-Rio Choy",0.311209472,0.099556847,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54402","ENSAMXG00000021178","ndst2a","Tinaja-Rio Choy",0.144776954,0.099620789,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54403","ENSAMXG00000006911","osbp","Tinaja-Rio Choy",-0.679480854,0.099624834,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54404","ENSAMXG00000002704","rrn3","Tinaja-Rio Choy",0.157153143,0.099647225,"Arrhythmic","Between morph","Mack_et_al_2020"
"54407","ENSAMXG00000003133","dact2","Tinaja-Rio Choy",0.280929029,0.099749731,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54410","ENSAMXG00000003514","hinfp","Tinaja-Rio Choy",-0.213812623,0.100066703,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54411","ENSAMXG00000005061","kynu","Tinaja-Rio Choy",-0.211541546,0.100098099,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54412","ENSAMXG00000019559","pitpnm2","Tinaja-Rio Choy",1.379048357,0.100171203,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54415","ENSAMXG00000006539","ptprea","Tinaja-Rio Choy",-0.207781485,0.100362676,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54416","ENSAMXG00000002767","snx21","Tinaja-Rio Choy",-0.167267905,0.100395134,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54417","ENSAMXG00000017407","eya3","Tinaja-Rio Choy",-1.331453271,0.100465137,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54419","ENSAMXG00000015073","lect2l","Tinaja-Rio Choy",-0.240511086,0.100518817,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54422","ENSAMXG00000008732","crabp1a","Tinaja-Rio Choy",0.175487437,0.100565819,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54425","ENSAMXG00000005426","slc4a7","Tinaja-Rio Choy",1.834722347,0.100692789,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54428","ENSAMXG00000001944","EXOC3L4 (2 of 3)","Tinaja-Rio Choy",-0.374307638,0.101077756,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54429","ENSAMXG00000016477","zap70","Tinaja-Rio Choy",-0.418875798,0.10114308,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54430","ENSAMXG00000006661","ell2","Tinaja-Rio Choy",-1.427851595,0.101158402,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54431","ENSAMXG00000005825","fgf24","Tinaja-Rio Choy",0.285430728,0.101180302,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54437","ENSAMXG00000001299","rdh12l","Tinaja-Rio Choy",0.153430953,0.101450499,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54440","ENSAMXG00000011420","mark2b","Tinaja-Rio Choy",0.155538197,0.102016364,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54441","ENSAMXG00000018523","waplb","Tinaja-Rio Choy",1.116487045,0.102029511,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54442","ENSAMXG00000009055","rilpl2","Tinaja-Rio Choy",-0.169962869,0.102037115,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54443","ENSAMXG00000020824","sidt2","Tinaja-Rio Choy",-0.220180951,0.102079342,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54444","ENSAMXG00000000259","CAPN15 (1 of 2)","Tinaja-Rio Choy",1.723747493,0.102086033,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54446","ENSAMXG00000018360","cdc6","Tinaja-Rio Choy",0.129783679,0.102247975,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54451","ENSAMXG00000000497","spsb3b","Tinaja-Rio Choy",2.004647983,0.102482734,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54452","ENSAMXG00000004275","trim35-30","Tinaja-Rio Choy",0.343936674,0.10250532,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54453","ENSAMXG00000021617","rela","Tinaja-Rio Choy",-0.221293786,0.10253723,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54456","ENSAMXG00000013609","zfhx4","Tinaja-Rio Choy",0.252358431,0.102640563,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54457","ENSAMXG00000024994","tmem74","Tinaja-Rio Choy",0.385482463,0.102652274,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54458","ENSAMXG00000020368","ank3a","Tinaja-Rio Choy",-0.205209273,0.102689571,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54459","ENSAMXG00000021148","HRC","Tinaja-Rio Choy",0.131952324,0.102710539,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54460","ENSAMXG00000024321","ptprb","Tinaja-Rio Choy",0.749774998,0.102740125,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54461","ENSAMXG00000002684","gabpa","Tinaja-Rio Choy",-0.248394141,0.102776156,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54463","ENSAMXG00000006221","prkacbb","Tinaja-Rio Choy",0.387388081,0.103001379,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54465","ENSAMXG00000014337","kank3","Tinaja-Rio Choy",0.350410855,0.103012371,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54466","ENSAMXG00000002268","zgc:172271","Tinaja-Rio Choy",1.574845394,0.103023483,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54467","ENSAMXG00000017898","grhl1","Tinaja-Rio Choy",-0.396021012,0.103103092,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54469","ENSAMXG00000012946","rbm39b","Tinaja-Rio Choy",-0.763467603,0.10316808,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54470","ENSAMXG00000003074","cep170aa","Tinaja-Rio Choy",0.29057291,0.103381253,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54473","ENSAMXG00000005951","slc6a7","Tinaja-Rio Choy",-0.177421315,0.103429114,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54474","ENSAMXG00000003369","zpld1b","Tinaja-Rio Choy",-0.466047107,0.103441105,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54479","ENSAMXG00000007611","si:dkey-243k1.3","Tinaja-Rio Choy",0.282589876,0.103742304,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54481","ENSAMXG00000020607","pum1","Tinaja-Rio Choy",0.191047926,0.10401987,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54486","ENSAMXG00000001998","ltbp3","Tinaja-Rio Choy",-0.256158712,0.104339998,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54492","ENSAMXG00000018153","galca","Tinaja-Rio Choy",-0.16344336,0.105137593,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54494","ENSAMXG00000019601","slc18a1","Tinaja-Rio Choy",-0.585430483,0.105213504,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54496","ENSAMXG00000011517","skiv2l","Tinaja-Rio Choy",0.180026817,0.105311986,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54499","ENSAMXG00000001520","gigyf2","Tinaja-Rio Choy",1.137337887,0.105445885,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54501","ENSAMXG00000019445","npr3","Tinaja-Rio Choy",0.156223431,0.105480393,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54505","ENSAMXG00000003175","kansl3","Tinaja-Rio Choy",0.210622028,0.105671811,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54506","ENSAMXG00000017521","cblb","Tinaja-Rio Choy",1.82281892,0.105710914,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54508","ENSAMXG00000011924","dclk1b","Tinaja-Rio Choy",0.324000225,0.105774465,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54513","ENSAMXG00000006753","mrpl22","Tinaja-Rio Choy",-0.178365668,0.105971813,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54517","ENSAMXG00000008227","aadacl4","Tinaja-Rio Choy",-0.173888916,0.106067128,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54519","ENSAMXG00000017920","patj","Tinaja-Rio Choy",0.879214882,0.106230439,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54520","ENSAMXG00000024898","zgc:112001","Tinaja-Rio Choy",0.241854873,0.106242733,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54524","ENSAMXG00000026119","cx34.4","Tinaja-Rio Choy",-0.19653333,0.106322236,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54525","ENSAMXG00000000814","pdlim3a","Tinaja-Rio Choy",-0.508116875,0.106426975,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54526","ENSAMXG00000021520","si:dkey-172h23.2","Tinaja-Rio Choy",0.241320815,0.106454678,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54528","ENSAMXG00000010000","tenm4","Tinaja-Rio Choy",0.446751333,0.106597556,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54529","ENSAMXG00000016515","dtwd2","Tinaja-Rio Choy",0.172631202,0.106610179,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54531","ENSAMXG00000019623","grb7","Tinaja-Rio Choy",-0.255625726,0.106625295,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54532","ENSAMXG00000002706","zgc:113279","Tinaja-Rio Choy",0.960846692,0.106674171,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54535","ENSAMXG00000007158","ablim3","Tinaja-Rio Choy",1.56298343,0.106784216,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54537","ENSAMXG00000001955","mrpl19","Tinaja-Rio Choy",-0.212256286,0.106904985,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54542","ENSAMXG00000005617","vax2","Tinaja-Rio Choy",1.404291439,0.10724528,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54544","ENSAMXG00000012762","shank2b","Tinaja-Rio Choy",0.995256933,0.107473989,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54545","ENSAMXG00000016920","osbpl5","Tinaja-Rio Choy",-0.13324165,0.107476333,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54546","ENSAMXG00000018574","arhgap21b","Tinaja-Rio Choy",0.27032985,0.107593721,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54547","ENSAMXG00000001220","ppil2","Tinaja-Rio Choy",-0.358902663,0.107615828,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54549","ENSAMXG00000003737","pld1b","Tinaja-Rio Choy",0.198924294,0.107654039,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54551","ENSAMXG00000016708","pom121","Tinaja-Rio Choy",-0.895822731,0.107717421,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54553","ENSAMXG00000011959","pik3r1","Tinaja-Rio Choy",-0.30739383,0.107850198,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54554","ENSAMXG00000011733","chrd","Tinaja-Rio Choy",-0.366649451,0.107924589,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54555","ENSAMXG00000014636","cep57l1","Tinaja-Rio Choy",-0.445784047,0.107961552,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54558","ENSAMXG00000016522","myo1f","Tinaja-Rio Choy",-0.323332924,0.108125141,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54559","ENSAMXG00000017768","fbln1","Tinaja-Rio Choy",-2.61470951,0.108141959,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54572","ENSAMXG00000018638","evi5l","Tinaja-Rio Choy",1.801414637,0.109168771,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54575","ENSAMXG00000005822","frem3","Tinaja-Rio Choy",0.220655516,0.109368082,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54576","ENSAMXG00000010282","arrb1","Tinaja-Rio Choy",0.747980293,0.10937221,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54577","ENSAMXG00000005542","exoc1","Tinaja-Rio Choy",0.126426854,0.109384476,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54579","ENSAMXG00000017279","mfsd2b","Tinaja-Rio Choy",1.822209563,0.109428105,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54580","ENSAMXG00000010669","lrrc40","Tinaja-Rio Choy",0.230060739,0.109480211,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54583","ENSAMXG00000010056","glt8d2","Tinaja-Rio Choy",-0.206066252,0.109536256,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54585","ENSAMXG00000016499","ndufa10","Tinaja-Rio Choy",0.130651143,0.109660357,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54586","ENSAMXG00000005931","lrp2a","Tinaja-Rio Choy",1.367276556,0.109672426,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54595","ENSAMXG00000007272","hif1al2","Tinaja-Rio Choy",-0.217017923,0.110214533,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54597","ENSAMXG00000016713","ehd2b","Tinaja-Rio Choy",-0.127787158,0.11036024,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54598","ENSAMXG00000006701","zbtb40","Tinaja-Rio Choy",-1.158888969,0.110444806,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54599","ENSAMXG00000002450","mettl22","Tinaja-Rio Choy",0.318815536,0.110454462,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54600","ENSAMXG00000015550","ddx5","Tinaja-Rio Choy",-0.211295983,0.110523713,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54602","ENSAMXG00000007428","si:ch211-39k3.2","Tinaja-Rio Choy",2.995476796,0.110571478,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54603","ENSAMXG00000011486","pdia8","Tinaja-Rio Choy",-0.182962184,0.110587194,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54605","ENSAMXG00000012612","neurl1aa","Tinaja-Rio Choy",0.738427836,0.110678486,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54607","ENSAMXG00000019276","gal3st1b","Tinaja-Rio Choy",-0.195488831,0.11078384,"Arrhythmic","Between morph","Mack_et_al_2020"
"54608","ENSAMXG00000021366","arhgap1","Tinaja-Rio Choy",-0.181892949,0.110880719,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54609","ENSAMXG00000018566","kif13bb","Tinaja-Rio Choy",-0.276076942,0.110888534,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54613","ENSAMXG00000007420","si:ch211-13k12.2","Tinaja-Rio Choy",0.389012693,0.111228642,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54618","ENSAMXG00000012535","col14a1b","Tinaja-Rio Choy",-0.635105955,0.111404545,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54621","ENSAMXG00000016039","itga8","Tinaja-Rio Choy",0.175795822,0.111595739,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54623","ENSAMXG00000016391","smu1a","Tinaja-Rio Choy",0.116564857,0.111640377,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54625","ENSAMXG00000011528","fgf12b","Tinaja-Rio Choy",0.683063368,0.111868266,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54626","ENSAMXG00000025981","tas2r202","Tinaja-Rio Choy",-0.783112642,0.111890657,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54632","ENSAMXG00000018252","cnksr3","Tinaja-Rio Choy",0.267115113,0.112145931,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54633","ENSAMXG00000005169","tspan18b","Tinaja-Rio Choy",3.463324451,0.11218404,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54634","ENSAMXG00000002924","rasl12","Tinaja-Rio Choy",0.241602167,0.112368947,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54637","ENSAMXG00000024822","ngfb","Tinaja-Rio Choy",-0.260302115,0.112529935,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54638","ENSAMXG00000013105","huwe1","Tinaja-Rio Choy",-0.307809217,0.112568863,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54639","ENSAMXG00000013235","mn1b","Tinaja-Rio Choy",0.174093308,0.112689435,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54640","ENSAMXG00000010029","tdrd6","Tinaja-Rio Choy",-0.562334343,0.112814137,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54642","ENSAMXG00000007719","ctnnd2a","Tinaja-Rio Choy",1.083048377,0.1130263,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54643","ENSAMXG00000007931","cert1a","Tinaja-Rio Choy",0.163845908,0.113028471,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54646","ENSAMXG00000013344","eml1","Tinaja-Rio Choy",1.633407665,0.113201661,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54651","ENSAMXG00000013269","stam","Tinaja-Rio Choy",-0.351339077,0.113464623,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54652","ENSAMXG00000006705","micu2","Tinaja-Rio Choy",-0.31169078,0.113511736,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54655","ENSAMXG00000007278","znf609b","Tinaja-Rio Choy",0.355599613,0.113745667,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54658","ENSAMXG00000021316","irf2bp2b","Tinaja-Rio Choy",0.228354497,0.113816539,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54659","ENSAMXG00000013990","ttll11","Tinaja-Rio Choy",0.377427179,0.113884779,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54660","ENSAMXG00000013983","zgc:112408","Tinaja-Rio Choy",0.481094637,0.113927812,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54662","ENSAMXG00000008212","dlgap1a","Tinaja-Rio Choy",1.247064699,0.114006534,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54666","ENSAMXG00000002751","phldb1b","Tinaja-Rio Choy",1.334672748,0.114157704,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54667","ENSAMXG00000017182","exorh","Tinaja-Rio Choy",0.404465957,0.114180182,"Arrhythmic","Between morph","Mack_et_al_2020"
"54668","ENSAMXG00000017875","nrd1b","Tinaja-Rio Choy",-0.222439785,0.114207564,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54669","ENSAMXG00000007124","csnk2a2a","Tinaja-Rio Choy",0.148728455,0.114258777,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54671","ENSAMXG00000020839","nrxn2","Tinaja-Rio Choy",1.795168658,0.114385121,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54674","ENSAMXG00000011634","gnpda1","Tinaja-Rio Choy",-0.156881348,0.114583345,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54676","ENSAMXG00000000099","wnt10a","Tinaja-Rio Choy",-0.532478827,0.114653872,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54678","ENSAMXG00000009387","ptch2","Tinaja-Rio Choy",0.223116451,0.114723179,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54681","ENSAMXG00000018171","mlana","Tinaja-Rio Choy",3.203163796,0.114788732,NA,"Between morph","Mack_et_al_2020"
"54682","ENSAMXG00000009514","FAM177A1","Tinaja-Rio Choy",-0.256375448,0.114795484,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54683","ENSAMXG00000020861","MAZ (2 of 2)","Tinaja-Rio Choy",0.60095806,0.114838761,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54684","ENSAMXG00000001866","vps4b","Tinaja-Rio Choy",-0.108401148,0.114846401,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54685","ENSAMXG00000019354","six1b","Tinaja-Rio Choy",0.124126085,0.114959096,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54686","ENSAMXG00000004503","cacnb3b","Tinaja-Rio Choy",1.245487811,0.11501261,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54687","ENSAMXG00000017235","rassf8a","Tinaja-Rio Choy",0.20920825,0.115160413,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54690","ENSAMXG00000004103","grm7","Tinaja-Rio Choy",0.953759028,0.115257195,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54693","ENSAMXG00000010491","wdr34","Tinaja-Rio Choy",-0.301604658,0.115630334,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54694","ENSAMXG00000013485","mecom","Tinaja-Rio Choy",0.224009651,0.115697646,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54695","ENSAMXG00000020350","si:dkey-202g17.3","Tinaja-Rio Choy",-0.562116774,0.115752318,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54696","ENSAMXG00000019732","cd226","Tinaja-Rio Choy",-0.194269871,0.115757328,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54697","ENSAMXG00000004819","myo10l1","Tinaja-Rio Choy",1.651755361,0.115763259,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54700","ENSAMXG00000001381","syn1","Tinaja-Rio Choy",0.447337128,0.116104856,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54703","ENSAMXG00000005302","atrip","Tinaja-Rio Choy",-0.193226649,0.116335425,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54704","ENSAMXG00000002760","fam49bb","Tinaja-Rio Choy",0.178617107,0.116414815,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54705","ENSAMXG00000026091","cdk5r2a","Tinaja-Rio Choy",0.203368104,0.116435855,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54706","ENSAMXG00000004142","SLC44A2 (1 of 2)","Tinaja-Rio Choy",-0.195105467,0.116446809,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54707","ENSAMXG00000015580","mrpl38","Tinaja-Rio Choy",-0.255587791,0.116447488,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54712","ENSAMXG00000012836","kdm4aa","Tinaja-Rio Choy",0.570359635,0.116633478,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54713","ENSAMXG00000001464","si:ch73-234b20.5","Tinaja-Rio Choy",0.267330883,0.116634936,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54714","ENSAMXG00000012140","zgc:153901","Tinaja-Rio Choy",0.215488134,0.116640632,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54716","ENSAMXG00000021574","lim2.2","Tinaja-Rio Choy",2.115509353,0.116758188,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54717","ENSAMXG00000001099","si:ch211-194m7.5","Tinaja-Rio Choy",-0.21979637,0.116865762,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54718","ENSAMXG00000002301","marveld1","Tinaja-Rio Choy",-0.187673485,0.116869398,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54719","ENSAMXG00000011179","znf704","Tinaja-Rio Choy",0.324221477,0.11690758,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54722","ENSAMXG00000006333","pgap6","Tinaja-Rio Choy",0.093587042,0.117067548,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54724","ENSAMXG00000018741","mast3b","Tinaja-Rio Choy",0.470775953,0.117310093,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54727","ENSAMXG00000019163","ube3c","Tinaja-Rio Choy",-0.481564491,0.117494981,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54728","ENSAMXG00000013136","smc1a","Tinaja-Rio Choy",0.566762458,0.117581142,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54729","ENSAMXG00000007370","kcnk4","Tinaja-Rio Choy",0.397409146,0.117599816,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54730","ENSAMXG00000006154","usp37","Tinaja-Rio Choy",-1.019773195,0.11763905,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54731","ENSAMXG00000011676","pla2g4f.1","Tinaja-Rio Choy",0.313639685,0.117647897,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54733","ENSAMXG00000007033","brwd3","Tinaja-Rio Choy",0.237925578,0.117764606,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54735","ENSAMXG00000017325","pbrm1","Tinaja-Rio Choy",-0.64527505,0.117818913,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54737","ENSAMXG00000016402","elp1","Tinaja-Rio Choy",-1.261369858,0.117978091,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54738","ENSAMXG00000018138","daam2","Tinaja-Rio Choy",-0.44280095,0.117982512,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54741","ENSAMXG00000008087","surf2","Tinaja-Rio Choy",-0.166719459,0.118120109,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54742","ENSAMXG00000002916","pdcd7","Tinaja-Rio Choy",0.22189043,0.118135604,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54744","ENSAMXG00000011768","klf11b","Tinaja-Rio Choy",0.30618489,0.118445077,"Arrhythmic","Between morph","Mack_et_al_2020"
"54746","ENSAMXG00000019901","adgrg4a","Tinaja-Rio Choy",-0.268901703,0.118546638,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54747","ENSAMXG00000004650","proser3","Tinaja-Rio Choy",0.348801616,0.118556618,"Arrhythmic","Between morph","Mack_et_al_2020"
"54749","ENSAMXG00000013516","fam83fa","Tinaja-Rio Choy",-0.35297965,0.118665573,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54750","ENSAMXG00000013944","adora2b","Tinaja-Rio Choy",0.292330053,0.118677925,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54756","ENSAMXG00000002174","pcdh15a","Tinaja-Rio Choy",1.489808442,0.118805015,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54760","ENSAMXG00000000180","tex11","Tinaja-Rio Choy",0.457317236,0.11905583,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54762","ENSAMXG00000006630","glrx3","Tinaja-Rio Choy",0.137159276,0.119131624,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54765","ENSAMXG00000018025","slc35d3","Tinaja-Rio Choy",-0.170899232,0.119216745,"Arrhythmic","Between morph","Mack_et_al_2020"
"54766","ENSAMXG00000011654","kif3a","Tinaja-Rio Choy",0.16811193,0.119357841,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54767","ENSAMXG00000000638","cramp1","Tinaja-Rio Choy",0.389904426,0.119644934,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"54768","ENSAMXG00000018772","tlr18","Tinaja-Rio Choy",-0.533427102,0.119653647,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
